Round,Pick,Team,Player,Position,Club,Picked At (UTC)
1,1,tottenyang FC,Erling Haaland,ST,Man City,2026-08-05 02:09:38
1,2,Hayden FC,Florian Wirtz,AM,Liverpool,2026-08-05 02:09:58
1,3,Not Too Xabi,Cole Palmer,AM,Chelsea,2026-08-05 02:10:01
1,4,Tea FC,Elliot Anderson,DM,Man City,2026-08-05 02:10:47
1,5,ChelsZ FC,João Pedro,ST,Chelsea,2026-08-05 02:10:56
1,6,Pizzaking's Club,Bruno Fernandes,AM,Man Utd,2026-08-05 02:11:03
2,7,Pizzaking's Club,Bukayo Saka,RW,Arsenal,2026-08-05 02:11:08
2,8,ChelsZ FC,Dominik Szoboszlai,AM,Liverpool,2026-08-05 02:11:11
2,9,Tea FC,Morgan Rogers,AM,Chelsea,2026-08-05 02:11:59
2,10,Not Too Xabi,Declan Rice,DM,Arsenal,2026-08-05 02:12:05
2,11,Hayden FC,Moisés Caicedo,DM,Chelsea,2026-08-05 02:12:27
2,12,tottenyang FC,Antoine Semenyo,RW,Man City,2026-08-05 02:12:38
3,13,tottenyang FC,Gabriel Magalhães,CB,Arsenal,2026-08-05 02:12:54
3,14,Hayden FC,Jérémy Doku,LW,Man City,2026-08-05 02:13:03
3,15,Not Too Xabi,Estêvão,RW,Chelsea,2026-08-05 02:13:10
3,16,Tea FC,Phil Foden,AM,Man City,2026-08-05 02:13:17
3,17,ChelsZ FC,Bruno Guimarães,CM,Newcastle,2026-08-05 02:13:20
3,18,Pizzaking's Club,William Saliba,CB,Arsenal,2026-08-05 02:13:35
4,19,Pizzaking's Club,Enzo Fernández,CM,Chelsea,2026-08-05 02:14:28
4,20,ChelsZ FC,Rayan Cherki,RW,Man City,2026-08-05 02:15:02
4,21,Tea FC,Anthony Elanga,RW,Newcastle,2026-08-05 02:15:40
4,22,Not Too Xabi,Joško Gvardiol,CB,Man City,2026-08-05 02:17:14
4,23,Hayden FC,Marc Guéhi,CB,Man City,2026-08-05 02:17:50
4,24,tottenyang FC,James Garner,DM,Everton,2026-08-05 02:18:16
5,25,tottenyang FC,Pedro Porro,RB,Spurs,2026-08-05 02:18:29
5,26,Hayden FC,Igor Thiago,ST,Brentford,2026-08-05 02:20:31
5,27,Not Too Xabi,Mateus Fernandes,CM,Spurs,2026-08-05 02:22:13
5,28,Tea FC,Benjamin Sesko,ST,Man Utd,2026-08-05 02:22:21
5,29,ChelsZ FC,Matheus Nunes,RWB,Man City,2026-08-05 02:22:32
5,30,Pizzaking's Club,Alexander Isak,ST,Liverpool,2026-08-05 02:22:41
6,31,Pizzaking's Club,Adrien Truffert,LB,Bournemouth,2026-08-05 02:22:44
6,32,ChelsZ FC,Maxence Lacroix,CB,Chelsea,2026-08-05 02:23:30
6,33,Tea FC,Milos Kerkez,LWB,Liverpool,2026-08-05 02:23:33
6,34,Not Too Xabi,Junior Kroupi,ST,Bournemouth,2026-08-05 02:24:34
6,35,Hayden FC,Nico O'Reilly,LB,Man City,2026-08-05 02:24:57
6,36,tottenyang FC,Morgan Gibbs-White,AM,Nott'm Forest,2026-08-05 02:26:38
7,37,tottenyang FC,Mohammed Kudus,RW,Spurs,2026-08-05 02:26:44
7,38,Hayden FC,Alexis Mac Allister,CM,Liverpool,2026-08-05 02:27:49
7,39,Not Too Xabi,Levi Colwill,CB,Chelsea,2026-08-05 02:29:19
7,40,Tea FC,Alejandro Garnacho,LW,Aston Villa,2026-08-05 02:29:23
7,41,ChelsZ FC,Jan Paul van Hecke,CB,Spurs,2026-08-05 02:29:36
7,42,Pizzaking's Club,Ollie Watkins,ST,Aston Villa,2026-08-05 02:30:03
8,43,Pizzaking's Club,Ryan Gravenberch,DM,Liverpool,2026-08-05 02:30:29
8,44,ChelsZ FC,Lewis Hall,LB,Newcastle,2026-08-05 02:30:39
8,45,Tea FC,Liam Delap,ST,Chelsea,2026-08-05 02:31:31
8,46,Not Too Xabi,Matheus Cunha,AM,Man Utd,2026-08-05 02:32:52
8,47,Hayden FC,Micky van de Ven,CB,Spurs,2026-08-05 02:34:41
8,48,tottenyang FC,Yankuba Minteh,RW,Brighton,2026-08-05 02:36:35
9,49,tottenyang FC,James Tarkowski,CB,Everton,2026-08-05 02:38:36
9,50,Hayden FC,Gianluigi Donnarumma,GK,Man City,2026-08-05 02:40:35
9,51,Not Too Xabi,Reece James,RB,Chelsea,2026-08-05 02:41:30
9,52,Tea FC,Murillo,CB,Nott'm Forest,2026-08-05 02:41:32
9,53,ChelsZ FC,Rúben Dias,CB,Man City,2026-08-05 02:42:12
9,54,Pizzaking's Club,David Raya,GK,Arsenal,2026-08-05 02:42:34
10,55,Pizzaking's Club,Neco Williams,LB,Nott'm Forest,2026-08-05 02:42:38
10,56,ChelsZ FC,Rodrigo 'Rodri' Hernandez Cascante,DM,Man City,2026-08-05 02:44:08
10,57,Tea FC,Adam Wharton,DM,Crystal Palace,2026-08-05 02:44:13
10,58,Not Too Xabi,Jurriën Timber,RWB,Arsenal,2026-08-05 02:45:22
10,59,Hayden FC,Bryan Mbeumo,RW,Man Utd,2026-08-05 02:45:27
10,60,tottenyang FC,Alex Scott,DM,Bournemouth,2026-08-05 02:45:46
11,61,tottenyang FC,Patrick Dorgu,LW,Man Utd,2026-08-05 02:47:45
11,62,Hayden FC,Diogo Dalot,RB,Man Utd,2026-08-05 02:49:42
11,63,Not Too Xabi,Jeremy Jacquet,CB,Liverpool,2026-08-05 02:51:15
11,64,Tea FC,Kobbie Mainoo,DM,Man Utd,2026-08-05 02:51:25
11,65,ChelsZ FC,Anton Stach,CM,Leeds,2026-08-05 02:51:38
11,66,Pizzaking's Club,Marcos Senesi,CB,Spurs,2026-08-05 02:51:42
12,67,Pizzaking's Club,Pedro Neto,RW,Chelsea,2026-08-05 02:51:53
12,68,ChelsZ FC,Rayan Vitor Simplício Rocha,RW,Bournemouth,2026-08-05 02:52:25
12,69,Tea FC,Tino Livramento,RWB,Newcastle,2026-08-05 02:52:27
12,70,Not Too Xabi,Hugo Ekitiké,ST,Liverpool,2026-08-05 02:53:58
12,71,Hayden FC,Rio Ngumoha,LW,Liverpool,2026-08-05 02:54:38
12,72,tottenyang FC,Robin Roefs,GK,Sunderland,2026-08-05 02:55:52
13,73,tottenyang FC,Enzo Le Fée,CM,Sunderland,2026-08-05 02:56:15
13,74,Hayden FC,Nathan Collins,CB,Brentford,2026-08-05 02:56:33
13,75,Not Too Xabi,Johan Manzambi,CM,Aston Villa,2026-08-05 02:57:14
13,76,Tea FC,Jack Hinshelwood,DM,Brighton,2026-08-05 02:57:57
13,77,ChelsZ FC,Antonee Robinson,LWB,Fulham,2026-08-05 02:58:16
13,78,Pizzaking's Club,Youri Tielemans,CM,Man Utd,2026-08-05 02:58:28
14,79,Pizzaking's Club,Virgil van Dijk,CB,Liverpool,2026-08-05 02:58:47
14,80,ChelsZ FC,Xavi Simons,AM,Spurs,2026-08-05 02:59:17
14,81,Tea FC,Jarrad Branthwaite,CB,Everton,2026-08-05 03:00:01
14,82,Not Too Xabi,Abdukodir Khusanov,CB,Man City,2026-08-05 03:01:17
14,83,Hayden FC,Charalampos Kostoulas,ST,Brighton,2026-08-05 03:01:20
14,84,tottenyang FC,Luka Vušković,CB,Brighton,2026-08-05 03:01:25
15,85,tottenyang FC,Riccardo Calafiori,LB,Arsenal,2026-08-05 03:02:29
15,86,Hayden FC,Kiernan Dewsbury-Hall,AM,Everton,2026-08-05 03:02:46
15,87,Not Too Xabi,Iliman Ndiaye,RW,Everton,2026-08-05 03:03:50
15,88,Tea FC,Jorrel Hato,LB,Chelsea,2026-08-05 03:04:16
15,89,ChelsZ FC,Chris Richards,CB,Crystal Palace,2026-08-05 03:05:41
15,90,Pizzaking's Club,Emmanuel Emegha,ST,Chelsea,2026-08-05 03:06:42
